Concepto,Definición
Propiedad social,"las tierras comunales y las dotadas a los núcleos de población o de régimen ejidal conforme a las disposiciones de la Ley Agraria, mismas que se dividen en tierras para asentamientos humanos, de uso común o comunales y parceladas

Fuente: 
Secretaría General de Gobierno. (2003). Ley de Desarrollo Urbano Sustentable del Estado de Puebla. México: Orden Jurídico Poblano.

Sitio(s) web: 
No hay URLs
"
Provincia fisiográfica,"conjunto estructural de origen geológico unitario, de gran extensión, con morfología propia y distintiva

Fuente: 
Instituto Nacional de Estadística y Geografía. (2001). Diccionario de Datos Fisiográficos. México: INEGI.

Sitio(s) web: 
No hay URLs
"
Provisiones,"las áreas que serán utilizadas para la Fundación de un centro de población

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. XXVIII).

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
Ranchería,"población con un mínimo de 90 habitantes que laboran agropecuariamente en las fincas de la región o en las suyas propias

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Diccionario de Datos de Localidades Urbanas (Vectorial).

Sitio(s) web:
http://recursos.inegi.org.mx/geo/contenidos/urbana/doc/diccionario_datos_localidades_urbanas_ver_definitiva_septiembre07.pdf
"
Reducción de riesgos de desastres,"los esfuerzos sistemáticos dirigidos al análisis y a la gestión de los factores causales de los desastres, lo que incluye la reducción del grado de exposición a las amenazas, la disminución de la vulnerabilidad de la población y la propiedad, y una gestión sensata de los suelos y del medio ambiente

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. XXIX).

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
Reforma urbana,"es una reforma estructural dirigida a otorgar al país un marco institucional, legal y financiero orientado a detonar el inmenso potencial social y económico de las ciudades de México, y a mejorar la calidad de vida de los casi 90 millones de habitantes que viven en ellas

Fuente: 
Centro Mario Molina, Instituto Mexicano para la Competitividad (IMCO), CtSEMBARQ México. (SD). Reforma Urbana, 7 Propuestas para las Ciudades de México. México: SD.

Sitio(s) web: 
No hay URLs
"
Región hidrológica,"porción de territorio en el que se encuentran aguas superficiales (ríos)

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
Regularizar,"conjunto de actos jurídicos técnicos necesarios para el otorgamiento de certeza jurídica en la tenencia de la tierra

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano. (2020). REGLAS de Operación del Programa de Mejoramiento Urbano, para el ejercicio fiscal 2021. Diario Oficial de la Federación.

Sitio(s) web: 
No hay URLs
"
Relieve,"forma que adquiere la superficie terrestre ocasionada por accidentes geográficos como sierras, mesetas, llanuras, depresiones y barrancas, por ejemplo

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
Reservas,"las áreas de un centro de población que serán utilizadas para su Crecimiento

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. XXX).

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
Residuos peligrosos,"son aquéllos que posean alguna de las características de corrosividad, reactividad, explosividad, toxicidad, inflamabilidad, o que contengan agentes infecciosos que les confieran peligrosidad, así como envases, recipientes, embalajes y suelos que hayan sido contaminados cuando se transfieran a otro sitio

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario: Estadísticas de gobierno; Censo nacional de gobierno, seguridad pública y sistema penitenciario estatales. (2020).

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=CNGSPSPE2020
"
Residuos sólidos urbanos,"los generados en las casas habitación que resultan de la eliminación de los materiales que utilizan en sus actividades domésticas, de los productos que consumen y de sus envases, embalajes o empaques; los residuos que provienen de cualquier otra actividad dentro de establecimientos o en la vía pública que genere residuos con características domiciliarias, los resultantes de la limpieza de las vías y lugares públicos, siempre que no sean considerados por la Ley General para la Prevención y Gestión Integral de los Residuos

Fuente: 
Instituto Nacional de Estadística y Geografía. (INEGI). Censo Nacional de Gobierno, Seguridad Pública y Sistema Penitenciario Estatales (2020).

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=CNGSPSPE2020
"
Resiliencia,"es la capacidad de un sistema, comunidad o sociedad potencialmente expuesta a un peligro para resistir, asimilar, adaptarse y recuperarse de sus efectos en un corto plazo y de manera eficiente, a través de la preservación y restauración de sus estructuras básicas y funcionales, para lograr una mejor protección futura y mejorar las medidas de reducción de riesgos

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. XXXI).

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
Resiliencia territorial,"capacidad de resistencia, adaptación y/o reorganización de un sistema socio ambiental, a diferentes escalas espaciales, expuesta a peligros potenciales antropogénicos y naturales

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano. (2019) Anteproyecto de Norma Oficial Mexicana que establece los lineamientos para el fortalecimiento de la resiliencia en los Asentamientos Humanos y en el Territorio. (México). SEDATU.

Sitio(s) web: 
No hay URLs
"
Restauración,"conjunto de actividades tendentes a la recuperación y restablecimiento de las condiciones que propician la evolución y continuidad de los procesos naturales. (LPADSEM)

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
Rezago urbano y social,"conjunto de condiciones territoriales precarias y de necesidades no atendidas del entorno, suelo, vivienda y bienestar social de los asentamientos humanos

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano. (2020). REGLAS de Operación del Programa de Mejoramiento Urbano, para el ejercicio fiscal 2021. Diario Oficial de la Federación.

Sitio(s) web: 
No hay URLs
"
Riesgo ambiental,"probabilidad de ocurrencia de un fenómeno que afecta directa o indirectamente al Medio Ambiente

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
Riesgo antropogénico,"son aquéllos que se derivan directamente de acciones humanas y que por consecuencia repercuten en el medio ambiente

Fuente: 
Definición elaborada con base en la consulta y análisis de documentos de interés en las temáticas de riesgos y desastres.

Sitio(s) web: 
No hay URLs
"
Riesgo ecológico,"se refiere a las amenazas potenciales a la vida, ocasionadas por el hombre o de manera natural e incluye deslizamientos terrestres, inundaciones, terremotos, la eliminación de los desechos y de los asentamientos humanos

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
Riesgo geológico,"son aquellos eventos naturales originados por la dinámica interior y exterior de la tierra que derivan en un riesgo y amenazas para la población

Fuente: 
Definición elaborada con base en la consulta y análisis de documentos de interés en las temáticas de riesgos y desastres.

Sitio(s) web: 
No hay URLs
"
Riesgo hidrometeorológico,"son aquéllos derivados de fenómenos naturales relacionados con el agua, que pueden provocar desastres de diverso tipo. Por lo general están estrechamente vinculados con los procesos atmosféricos o con condiciones meteorológicas extremas

Fuente: 
Lifeder. Riesgos Hidrometeorológicos: Causas y Consecuencias.

Sitio(s) web:
https://www.lifeder.com/riesgos-hidrometeorologicos/
"
Río,"corriente de agua natural, perenne o intermitente, que desemboca a otras corrientes, o a un embalse natural o artificial, o al mar

Fuente: 
Instituto Nacional de Estadística y Geografía. (2014). Diccionario de Datos de Cuerpos de Agua Escala 1:50 000. México: INEGI

Sitio(s) web: 
No hay URLs
"
Río intermitente,"corriente que tiene agua sólo durante alguna parte del año (por lo general, en la época de lluvias o deshielo)

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
Río perenne,"corriente de agua que fluye todo el año

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
Salud,"definida por la Organización Mundial de la Salud (OMS) como el “estado de bienestar completo físico, mental y social, y no únicamente la ausencia de una enfermedad y dolencia”. La metodología de evaluación de la salud, según esta definición, ya no se emite y en la actualidad se presenta en términos de estadísticas de mortalidad y morbilidad

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
Santuarios,"áreas naturales protegidas establecidas en zonas caracterizadas por una considerable riqueza de flora y/o fauna o por la presencia de especies y subespecies o hábitats de distribución restringida. Abarcan cañadas, vegas, relictos, grutas, cavernas, cenotes, caletas u otras unidades topográficas o geográficas que requieran ser preservadas o protegidas

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
Sector primario,"agrupa las actividades agrícolas, pecuarias, forestales, pesca y caza

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Otros Censos y Encuestas; Características de las localidades y del entorno urbano 2014, Glosario de las características de las localidades.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=localidades
"
Sector secundario,"agrupa las actividades de minería, generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final; construcción; industria manufacturera; y producción artesanal

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Otros Censos y Encuestas; Características de las localidades y del entorno urbano 2014, Glosario de las características de las localidades.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=localidades
"
Sector terciario,"agrupa las actividades, así como los servicios de: transporte, correos y almacenamiento; información en medios masivos; financieros y seguros; inmobiliarios; profesionales, científicos y técnicos; corporativos y servicios de apoyo a los negocios; manejo de residuos y desechos; servicios de remediación; educación; salud y asistencia  social, esparcimiento, culturales, deportivos y otros recreativos; alojamiento temporal y preparación de alimentos y bebidas; actividades legislativas, gubernamentales, de impartición de justicia, de organismos internacionales y extraterritoriales; y otros servicios no incluidos en los anteriores

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Otros Censos y Encuestas; Características de las localidades y del entorno urbano 2014, Glosario de las características de las localidades.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=localidades
"
Sequía,"condición del medio ambiente en la que se registra deficiencia de humedad, debido a que durante un lapso más o menos prolongado, la precipitación pluvial es escasa. El ciclo hidrológico se desestabiliza al extremo de que el agua disponible llega a resultar insuficiente para satisfacer las necesidades de los ecosistemas, lo cual disminuye las alternativas de supervivencia e interrumpe o cancela múltiples actividades asociadas con el empleo del agua

Fuente: 
Protección civil. Glosario de Términos.

Sitio(s) web:
http://www.proteccioncivil.net/Glosario%20T%C3%A9rminos%20S.htm
"
Selva,"formación forestal tropical, muy rica en especies, en la que es notable la estructura en varios estratos arbóreos y la presencia de lianas y epifitas (ONG Perú Ecológico 2009)

Fuente: 
Inventario Nacional de Humedales de México. (2012). Glosario General de Términos del Desarrollo de la Base Metodológica para el Inventario Nacional de Humedales de México. México: SD.

Sitio(s) web: 
No hay URLs
"
Selva alta subperennifolia,"se presenta en regiones con climas cálidohúmedos, con precipitaciones de 1100 a 1300 mm anuales, con una época de sequía bien marcada que puede durar de tres a cuatro o incluso cinco meses

Fuente: 
Instituto Nacional de Estadística y Geografía. (2017). Guía para la interpretación de cartografía Uso del Suelo y Vegetación escala 1:250 000, serie VI. (México). INEGI.

Sitio(s) web: 
No hay URLs
"
Selva media perennifolia,"estas comunidades se desarrollan generalmente en donde la temperatura media anual es inferior a 18 °C. Los climas que imperan en sus áreas de distribución son cálidos de los tipos Af, Am, Cfa y Cfb; se encuentra en altitudes entre los 1 000 y 2 500 m en regiones montañosas, tanto de la vertiente del Pacífico como la del Golfo

Fuente: 
Instituto Nacional de Estadística y Geografía. (2017). Guía para la interpretación de cartografía Uso del Suelo y Vegetación escala 1:250 000, serie VI. (México). INEGI.

Sitio(s) web: 
No hay URLs
"
Selva media subperennifolia,"los componentes arbóreos de este tipo vegetación pierden estacionalmente su follaje en un 25 a 50%, se desarrolla en lugares con climas cálido húmedos y subhúmedos, Aw para las porciones más secas, Am para las más húmedas y Cw en menor proporción

Fuente: 
Instituto Nacional de Estadística y Geografía. (2017). Guía para la interpretación de cartografía Uso del Suelo y Vegetación escala 1:250 000, serie VI. (México). INEGI.

Sitio(s) web: 
No hay URLs
"
Selva baja perennifolia,"se describe la selva baja perennifolia en las cimas de los volcanes San Martín y Santa Martha en el Macizo de Los Tuxtlas, Veracruz, entre los 1400 y 1700 msnm, compuesta por Oreopanax xalapensis, Clusia salvinii, Morelia cerífera, Rapanea juergensenii, Alfaroa costaricensis, Alsophila salvinii, Hesdyosmum mexicanum, Matayba oppositifolia, Ocotea effusa, Roupala montaña, Weinmannia pinnata como las más abundantes en este tipo de selva

Fuente: 
Instituto Nacional de Estadística y Geografía. (2017). Guía para la interpretación de cartografía Uso del Suelo y Vegetación escala 1:250 000, serie VI. (México). INEGI.

Sitio(s) web: 
No hay URLs
"
Selva baja subperennifolia,"comunidad vegetal que se encuentra en las mismas regiones de la Selva Alta perennifolia, alta y mediana subperennifolia, se distribuye prácticamente en la península de Yucatán, en climas Cálidos húmedos y subhúmedos con temperaturas de 24 a 36°C y precipitaciones entre los 1300 y 2000 mm

Fuente: 
Instituto Nacional de Estadística y Geografía. (2017). Guía para la interpretación de cartografía Uso del Suelo y Vegetación escala 1:250 000, serie VI. (México). INEGI.

Sitio(s) web: 
No hay URLs
"
Servicios públicos básicos,"son aquéllos que el Estado provee sin necesidad de que el ciudadano haga una petición o lleve a cabo un trámite para obtenerlos cada vez que requiera de ellos

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Económicas: Encuestas en establecimientos; Encuesta nacional de calidad regulatoria e impacto gubernamental en empresas. (2016).

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=encrige_2016
"
Servicios urbanos,"las actividades operativas y servicios públicos prestadas directamente por la autoridad competente o concesionada para satisfacer necesidades colectivas en los Centros de Población

Fuente: 
Cámara de diputados del H. Congreso de la Unión. (2016). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (México). Diario Oficial de la Federación.

Sitio(s) web: 
No hay URLs
"
Sierra,"sucesión de montañas que abarcan grandes extensiones de terreno, como las sierras Madre Occidental, Oriental y del Sur o la Cordillera Centroamericana

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
Sistema de ciudades,"es la identificación y jerarquización de los asentamientos urbanos, con relaciones de dependencias dinámicas de naturaleza económica, política, cultural, administrativa o religiosa

Fuente: 
Definición elaborada con base en la consulta y análisis de documentos de interés en las temáticas de desarrollo urbano.

Sitio(s) web: 
No hay URLs
"
Sistema de Información Geográfica,"conjunto de herramientas informáticas que integran y relacionan diversos componentes que permiten la organización, almacenamiento, manipulación, análisis y modelización de grandes cantidades de datos con referencia geográfica que conducen a la toma de decisiones

Fuente: 
Cámara de diputados del H. Congreso de la Unión. (2021). REGLAS de Operación del Programa de Mejoramiento Urbano, para el ejercicio fiscal 2022. (México). Diario Oficial de la Federación.

Sitio(s) web: 
No hay URLs
"
Sistema Nacional Territorial,"delimita las regiones y Sistemas Urbano Rurales que las integran y establece la jerarquización y caracterización de las zonas metropolitanas, Conurbaciones y Centros de Población, así como sus interrelaciones funcionales

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. XXXIV).

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
Sistema Urbano Nacional,"conjunto de ciudades de 15 mil y más habitantes que se encuentran relacionadas funcionalmente, y cualquier cambio significativo en alguna de ellas propicia en mayor o menor medida, alteraciones en las otras. El SUN 2018, se integra por 401 ciudades que se clasifican en: zonas metropolitanas, conurbaciones y centros urbanos, identificados y definidos a partir del Marco Geoestadístico Nacional 2017

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano. (2020). REGLAS de Operación del Programa de Mejoramiento Urbano, para el ejercicio fiscal 2021. Diario Oficial de la Federación.

Sitio(s) web: 
No hay URLs
"
Sistemas Urbano Rurales,"unidades espaciales básicas del ordenamiento territorial, que agrupan a áreas no urbanizadas, centros urbanos y asentamientos rurales vinculados funcionalmente

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. XXXV)

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
Sostenibilidad,"visión compartida, holística y a largo plazo que los países han acordado como el mejor camino para mejorar la vida de las personas en todo el mundo. El desarrollo sostenible promueve la prosperidad y las oportunidades económicas, un mayor bienestar social y la protección del medio ambiente, transformándonos en una sociedad más justa y equitativa, con el objetivo de prosperar en el presente, pero sin comprometer los recursos del futuro

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano. (2020). SOMOS CIUDADES Alineando la planeación a la Agenda Global de Desarrollo. (México). SEDATU.

Sitio(s) web: 
No hay URLs
"
Suelo,"acumulación de material granular suelto, como producto de los procesos de intemperismo y erosión

Fuente: 
Instituto Nacional de Estadística y Geografía. (1998). Diccionario de Datos Hidrológicos de Aguas Subterráneas: vectorial escala 1: 250 000. México. INEGI.

Sitio(s) web: 
No hay URLs
"
Suelo andosol,"suelos originados a partir de vidrio volcánico bajo casi cualquier clima; pueden desarrollarse en otros materiales ricos en silicatos bajo meteorización ácida en climas húmedos

Fuente: 
Instituto Nacional de Estadística y Geografía. (2016). Diccionario de Datos Edafológicos. Escala 1:250 000 (versión 4). México. INEGI.

Sitio(s) web: 
No hay URLs
"
Suelo feozem,"(del griego phaios, obscuro y del ruso zemlja, suelo) son muy fértiles y aptos para el cultivo, si bien son sumamente proclives a la erosión. Con frecuencia son suelos profundos y ricos en materia orgánica. Se desarrollan sobre todo en climas templados y húmedos, por lo que se encuentran recubriendo el Eje Neovolcánico Transversal y porciones de la Sierra Madre Occidental

Fuente: 
Secretaría de Medio Ambiente y Recursos Naturales (SEMARNAT). Los suelos de México.

Sitio(s) web:
http://www.paot.org.mx/centro/ine-semarnat/informe02/estadisticas_2000/informe_2000/03_Suelos/3.1_Suelos/index.htm
"
Suelo regosol,"suelo muy poco desarrollado, muy parecido al material de origen

Fuente: 
Instituto Nacional de Estadística y Geografía. (2016). Diccionario de Datos Edafológicos. Escala 1:250 000 (versión 4). México. INEGI.

Sitio(s) web: 
No hay URLs
"
Suelo rural,"los terrenos no aptos para el uso urbano, por razones de oportunidad o por su destinación a usos agrícolas, ganaderos, forestales, de explotación de recursos naturales y actividades análogas

Fuente: 
Consultorio catastral, Geocities.

Sitio(s) web:
http://www.geocities.ws/consultoriocatastral/documentos/usosplusvalia.pdf
"
Suelo vertisol,"suelo arcilloso que forman grietas debido a la expansión y contracción de las arcillas, forman facetas de fricción presión, generalmente de color obscuro

Fuente: 
Instituto Nacional de Estadística y Geografía. (2016). Diccionario de Datos Edafológicos. Escala 1:250 000 (versión 4). México. INEGI.

Sitio(s) web: 
No hay URLs
"
Suelo urbano,"constituyen el suelo urbano las zonas a las que el Programa General clasifique como tales, por contar con infraestructura, equipamiento y servicios y por estar comprendidas fuera de las poligonales que determine el Programa General para el suelo de conservación (LDUDF)

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
Suministro de energía eléctrica,"aquella actividad técnica destinada a satisfacer la necesidad de carácter general consistente en generar, conducir, transformar, distribuir y abastecer de energía eléctrica, cuyo cumplimiento, uniforme y continuo, debe ser permanentemente asegurado, regulado y controlado por el poder público, con sujeción a un régimen de derecho público, para aprovechamiento indiscriminado de toda persona

Fuente: 
Otero Salas, F. (2005). El servicio público de energía eléctrica en México y las actividades no consideradas como tal. Instituto de Investigaciones Jurídicas de la UNAM.

Sitio(s) web: 
No hay URLs
"
Superficie estatal,"es la expansión territorial que tiene una organización política que cuenta con poder administrativo y soberano sobre una determinada zona geográfica

Fuente: 
Definición elaborada con base en la consulta y análisis de documentos de interés en las temáticas de geografía.

Sitio(s) web: 
No hay URLs
"
Superficie parcelada,"son las tierras del ejido o comunidad agraria que han sido fraccionadas y distribuidas o asignadas individualmente entre sus integrantes para su explotación, sea ésta en forma individual, en grupo o colectivamente

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario: Estadísticas Económicas; Censo Ejidal 2007.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=CAE2007
"
Superficie de uso común,"son las tierras ejidales o comunales que no se han fraccionado ni distribuido entre sus integrantes. Los derechos para el aprovechamiento de estas tierras pueden ser compartidos por todos los integrantes del ejido o por parte de ellos, de acuerdo con las normas establecidas por Asamblea

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario: Estadísticas Económicas; Censo Ejidal 2007.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=CAE2007
"
Superficie para la reserva de crecimiento,"son las tierras que, con anticipación, se reservaron para ampliar el área de uso habitacional. Generalmente forman parte del área del asentamiento humano, pero pueden estar separadas de ella

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario: Estadísticas Económicas; Censo Ejidal 2007.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=CAE2007
"
Superficie sembrada,"es la superficie agrícola en la cual se deposita la semilla de cualquier cultivo, previa preparación del suelo y de la cual se lleva el seguimiento estadístico, es la variable más importante de las que genera la actividad agrícola

Fuente: 
Servicio de Información Agroalimentaria y Pesquera (SIAP). Características de la información.

Sitio(s) web:
http://www.campomexicano.gob.mx/portal_siap/Integracion/EstadisticaBasica/Agricola/Normatividad/caracteristicasN.htm
"
Superficie siniestrada,"es el área sembrada que en el ciclo agrícola registra pérdida total por afectación de fenómenos climáticos o por plagas y enfermedades. En el caso de perennes, se reconoce la pérdida total por siniestros con afectación sólo para la producción del año agrícola de que se trate, considerando que la plantación queda en posibilidad de ser cosechada en el año siguiente

Fuente: 
Servicio de Información Agroalimentaria y Pesquera (SIAP). Características de la información.

Sitio(s) web:
http://www.campomexicano.gob.mx/portal_siap/Integracion/EstadisticaBasica/Agricola/Normatividad/caracteristicasN.htm
"
Tasa de crecimiento,"aumento o disminución de una población (por los factores de nacimientos, muertes y migración) en un determinado periodo (normalmente se calcula por año)

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
Tasa de desocupación,"porcentaje de personas económicas activas que se encuentran sin trabajar, pero que están buscando trabajo

Fuente: 
Instituto Nacional de Estadística y Geografía. (2017). Metodología de Indicadores de la Serie Histórica Censal. México. INEGI.

Sitio(s) web: 
No hay URLs
"
Tenencia de la tierra,"formas de propiedad, reconocidas por la ley, en las que una persona o grupo de personas posee la tierra o dispone de ella. Puede ser ejidal, comunal, propiedad privada, de colonia y pública

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario: Actualización del Marco Censal Agropecuario 2016.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=amcag2016
"
Terracería,"camino acondicionado por el hombre, normalmente en áreas rurales, para la circulación de cualquier clase de vehículos de transporte terrestre. El piso está aplanado y carece de algún tipo de revestimiento (arena, grava, asfalto o cemento), es decir, sólo es de tierra

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
Terreno,"superficie continua de tierra, con límites reconocidos por el productor o responsable del terreno, perteneciente a un solo régimen de tenencia y un mismo tipo de derechos. Para fines de este evento: terreno, predio, parcela, lote y predio rústico se consideran como sinónimos

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario: Actualización del Marco Censal Agropecuario 2016.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=amcag2016
"
Territorio,"porción de tierra delimitada geográfica o administrativamente

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
Topografía,"estudia y mide las posiciones de puntos sobre la superficie de la tierra. Su aplicación sirve para describir y delinear con detalle el área de un terreno en mapas o planos, impresos o en formato digital

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
Transporte público colectivo,"servicio público que, mediante vehículos como autobuses, microbuses, automóviles, camionetas y trenes, entre otros, transporta a grupos de personas a lo largo de rutas establecidas y con paradas para el ascenso y descenso de los viajeros. Incluye los sistemas de transporte colectivo como el Metro, Metrobús, Tren Suburbano, Tren Ligero y equivalentes

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Censos y conteos de población; Censo de población y vivienda 2010.

Sitio(s) web:
https://inegi.org.mx/app/glosario/default.html?p=cpv2010
"
Tular,"es una comunidad de plantas acuáticas, distribuida principalmente en altiplanicies y llanuras costeras, en sitios con climas desde cálidos hasta templados, con amplios rangos de temperatura, precipitación y altitud

Fuente: 
Instituto Nacional de Estadística y Geografía. (2017). Guía para la interpretación de cartografía Uso del Suelo y Vegetación escala 1:250 000, serie VI. (México). INEGI.

Sitio(s) web: 
No hay URLs
"
Unidad económica,"establecimiento (desde una pequeña tienda hasta una gran fábrica) asentado en un lugar de manera permanente y delimitado por construcciones e instalaciones fijas, además se realiza la producción y/o comercialización de bienes y/o servicios

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
Urbanización,"proceso de transformación de una localidad o conjunto de localidades rurales, mediante la construcción de infraestructura de servicios (drenaje, agua potable, electrificación, pavimentación, transporte, etc.), este proceso se debe a la influencia cercana de alguna(s) ciudad(es)

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
Uso de suelo comercial,"comprende el uso de los espacios de servicio al público destinados a la compra-venta o permuta de mercancías al por menor

Fuente: 
Ayuntamiento de Córdoba. Plan Especial de Protección del Casco Histórico (PEPCH).

Sitio(s) web:
https://www.gmucordoba.es/normas-urbanisticas/normas-de-usos
"
